_id,LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
19875454,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,SASHA,15137,2099,2005-01-31T00:00:00
19875455,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,JAKE,15129,2099,2004-06-21T00:00:00
19875456,Dog Lifetime Spayed Female,MIXED,SPOTTED,SHILOH,15129,2099,2006-01-20T00:00:00
19875457,Dog Lifetime Spayed Female,LAB MIX,BROWN,BLONDIE,15140,2099,2005-07-18T00:00:00
19875458,Dog Lifetime Spayed Female,AUS SHEPHERD,MULTI,SASHA,15238,2099,2004-02-25T00:00:00
19875459,Dog Lifetime Male,ENG SETTER,WHITE/BLACK/BROWN,CODY,15037,2099,2006-02-24T00:00:00
19875460,Dog Lifetime Male,ENG SETTER,WHITE/BLACK/BROWN,CHARLIE,15037,2099,2006-02-24T00:00:00
19875461,Dog Lifetime Neutered Male,DOBERMAN PINSCHER,BLACK/BROWN,COLT,15037,2099,2006-02-24T00:00:00
19875462,Dog Lifetime Spayed Female,MIN PINSCHER,BLACK/BROWN,CANDY,15037,2099,2006-02-24T00:00:00
19875463,Dog Lifetime Spayed Female,SAMOYED,WHITE,KEENA,15235,2099,2006-02-14T00:00:00
19875464,Dog Lifetime Neutered Male,LAB MIX,BLACK,AMOS,15215,2099,2004-02-19T00:00:00
19875465,Dog Lifetime Neutered Male,RETRIEVER MIX,BRINDLE,BEAR,15236,2099,2006-10-02T00:00:00
19875466,Dog Lifetime Spayed Female,BOXER,WHITE,MADISON,15137,2099,2004-02-18T00:00:00
19875467,Dog Lifetime Male,BORD COLLIE,BLACK,TENNESEE TUXEDO,15221,2099,2005-10-04T00:00:00
19875468,Dog Lifetime Spayed Female,COCKER SPANIEL MIX,RED,HOLLY,15221,2099,2005-10-04T00:00:00
19875469,Dog Lifetime Spayed Female,ROTTWEILER,BLACK/RED,QUAILA,15131,2099,2004-02-17T00:00:00
19875470,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,JACK,15065,2099,2006-01-10T00:00:00
19875471,Dog Lifetime Female,ALAS MALAMUTE,WHITE/GREY,GRACIE,15135,2099,2006-10-30T00:00:00
19875472,Dog Lifetime Neutered Male,MIXED,BLACK,SAMBUCA,15202,2099,2006-03-10T00:00:00
19875473,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,BULLET,15101,2099,2006-02-01T00:00:00
19875474,Dog Lifetime Neutered Male,LAB MIX,BLACK,TREAVOR,15216,2099,2006-07-03T00:00:00
19875475,Dog Lifetime Neutered Male,DACHSHUND,RED,WILLIE,15131,2099,2005-02-18T00:00:00
19875476,Dog Lifetime Neutered Male,MIXED,WHITE,ROCKY,15235,2099,2006-02-14T00:00:00
