_id,fid,au_number,inst_name,category,iu,phone_number,location_address,location_city,location_state,location_zip_code,location_1,title,salutation,first_name,middle_init,last_name,admin_phone,admin_pho_1
14422,1,300020090,ABC Creative Play Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1 Grove Pl,Pittsburgh,PA,15236,2353, , , , , , , 
14423,2,300020130,ABC's for Children,"Licensed, Private Academic School",Allegheny IU 3,(412)344-4422,1630 Greentree Rd,Pittsburgh,PA,15220,0,Director,Ms,Kristen, ,Warzinski,(412)537-1413, 
14424,3,300020030,Abraxas Ctr Adlscnt Females,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)562-0105,437 Turrett St,Pittsburgh,PA,15206,3370, , , , , , , 
14425,4,300020020,Abraxas III,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)562-0105,936 W North Ave,Pittsburgh,PA,15233,1606, , , , , , , 
14426,5,203020115,Abundant Life International School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)761-0333,10 N Fremont Ave,Bellevue,PA,15202,0,Principal,Pr,Gary,T,Gideon, , 
14427,6,300020115,Academy,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)885-5200,900 Agnew Rd,Pittsburgh,PA,15227,0,Director,Mr,William, ,Styche,(412)751-4250, 
14428,7,300020102,ACLD Learning Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)881-2253,4900 Girard Road,Pittsburgh,PA,15227,1440,Director,Ms,Donna, ,Westbrooks-Martin,(412)731-5940, 
14429,8,300020150,ACLD Tillotson School,Approved Private School,Allegheny IU 3,(412)881-2268,4900 Girard Rd,Pittsburgh,PA,15227,0,Director,Ms,Donna, ,Westbrooks-Martin,(412)731-5940, 
14430,9,303020086,Adelphoi Education at Millvale,"Licensed, Private Academic School",Allegheny IU 3,(724)543-4238,608 Farragut St,Pittsburgh,PA,15209,0,Director, ,John-Michael, ,Chmiel,(412)266-6393, 
14431,10,300020180,AGH Center for Children,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)231-0250,621 E North Ave,Pittsburgh,PA,15212,4844,Principal,Ms,Janie, ,Costello, , 
14432,11,300020650,Allison House,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,99 S Euclid Ave,Pittsburgh,PA,15202,3812, , , , , , , 
14433,12,300020380,Alt Pro Asso Comm Treat #3,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,2322 Murray Ave,Pittsburgh,PA,15217,2304, , , , , , , 
14434,13,300020390,Alt Pro Asso Comm Treat #4,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,527 S Braddock Ave,Pittsburgh,PA,15221,3216, , , , , , , 
14435,14,300020410,Alt Pro Asso Comm Treat #5,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,315 N Mathilda St,Pittsburgh,PA,15224,1013, , , , , , , 
14436,15,300020340,Alt Pro Asso E L B Unit U,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,6017 E Liberty Blvd,Pittsburgh,PA,15206,2504, , , , , , , 
14437,16,300020350,Alt Pro Asso Family Dev Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,8620 Bricelyn Street Ext,Pittsburgh,PA,15221,1033, , , , , , , 
14438,17,300020360,Alt Pro Asso S Area Shelter,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,770 Broughon Road,Bethel Park,PA,15102,0, , , , , , , 
14439,18,300020500,Alt Pro Assoc G G H,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2, ,5530 Stanton Ave,Pittsburgh,PA,15206,2029, , , , , , , 
14440,19,300020370,Alt Pro Assoc I T C,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,922 N Negley Ave,Pittsburgh,PA,15206,1506, , , , , , , 
14441,20,300020420,Alt Pro Assoc Roup,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,322 Roup Ave,Pittsburgh,PA,15232,1033, , , , , , , 
